iter	Passed	Remaining
0	149	149330
1	151	75446
2	153	50901
3	155	38612
4	156	31228
5	158	26305
6	160	22773
7	162	20132
8	163	18029
9	165	16341
10	166	14968
11	167	13827
12	169	12854
13	170	12021
14	174	11461
15	176	10852
16	178	10306
17	180	9822
18	181	9395
19	183	9002
20	185	8655
21	187	8325
22	188	8023
23	190	7749
24	192	7491
25	193	7251
26	195	7051
27	197	6848
28	198	6655
29	201	6513
30	204	6383
31	214	6481
32	219	6421
33	223	6341
34	225	6227
35	231	6194
36	233	6085
37	235	5973
38	238	5868
39	240	5774
40	242	5680
41	247	5641
42	250	5569
43	256	5579
44	258	5494
45	261	5418
46	263	5347
47	267	5300
48	269	5240
49	272	5177
50	274	5110
51	276	5044
52	278	4981
53	280	4918
54	283	4870
55	286	4824
56	291	4816
57	293	4762
58	295	4714
59	297	4662
60	301	4635
61	305	4617
62	308	4584
63	310	4546
64	313	4511
65	317	4490
66	320	4461
67	322	4413
68	324	4375
69	326	4337
70	329	4306
71	332	4285
72	335	4260
73	339	4252
74	342	4222
75	344	4191
76	346	4158
77	348	4125
78	359	4191
79	364	4192
80	366	4163
81	369	4140
82	374	4140
83	376	4110
84	383	4125
85	388	4130
86	399	4188
87	402	4170
88	406	4158
89	408	4129
90	410	4099
91	419	4145
92	424	4138
93	428	4127
94	438	4179
95	441	4154
96	443	4127
97	448	4130
98	452	4120
99	455	4098
100	459	4092
101	460	4058
102	477	4160
103	480	4138
104	482	4113
105	485	4090
106	487	4066
107	489	4044
108	491	4020
109	499	4038
110	501	4016
111	503	3994
112	507	3983
113	516	4015
114	518	3991
115	521	3973
116	526	3975
117	529	3961
118	536	3971
119	544	3990
120	552	4012
121	562	4051
122	564	4021
123	566	4000
124	571	3998
125	578	4013
126	581	3997
127	582	3969
128	584	3947
129	586	3927
130	592	3929
131	594	3908
132	596	3888
133	598	3869
134	601	3854
135	607	3859
136	610	3843
137	611	3820
138	614	3803
139	616	3786
140	624	3803
141	626	3785
142	628	3767
143	631	3756
144	637	3758
145	640	3745
146	642	3727
147	644	3710
148	646	3695
149	653	3703
150	656	3689
151	658	3671
152	662	3669
153	668	3674
154	673	3672
155	677	3664
156	680	3654
157	685	3652
158	691	3655
159	693	3640
160	695	3624
161	697	3609
162	700	3594
163	702	3580
164	704	3565
165	706	3549
166	708	3533
167	710	3517
168	713	3510
169	715	3495
170	724	3514
171	727	3503
172	730	3492
173	735	3493
174	740	3490
175	743	3478
176	744	3463
177	747	3450
178	749	3438
179	751	3425
180	752	3406
181	754	3392
182	756	3378
183	758	3363
184	762	3358
185	764	3344
186	766	3333
187	768	3320
188	773	3319
189	784	3344
190	792	3356
191	794	3344
192	796	3332
193	800	3327
194	802	3314
195	805	3302
196	813	3316
197	816	3305
198	818	3293
199	819	3279
200	821	3266
201	824	3256
202	826	3243
203	828	3231
204	829	3217
205	831	3205
206	833	3194
207	836	3184
208	839	3176
209	840	3163
210	842	3151
211	844	3138
212	845	3125
213	847	3112
214	848	3098
215	850	3086
216	854	3081
217	856	3072
218	858	3062
219	860	3049
220	861	3038
221	863	3025
222	865	3016
223	868	3008
224	870	2996
225	871	2985
226	873	2975
227	875	2964
228	877	2953
229	878	2942
230	880	2929
231	881	2918
232	883	2908
233	885	2897
234	886	2886
235	888	2875
236	889	2863
237	890	2850
238	891	2838
239	892	2826
240	893	2815
241	895	2803
242	897	2795
243	898	2784
244	899	2773
245	901	2762
246	902	2751
247	903	2740
248	904	2729
249	906	2718
250	907	2707
251	908	2697
252	910	2687
253	912	2678
254	913	2668
255	914	2658
256	915	2647
257	916	2637
258	918	2626
259	919	2616
260	921	2608
261	937	2639
262	944	2646
263	948	2643
264	949	2634
265	951	2624
266	952	2614
267	953	2604
268	954	2593
269	955	2583
270	961	2585
271	962	2575
272	963	2565
273	964	2555
274	965	2545
275	966	2536
276	967	2526
277	969	2517
278	970	2508
279	973	2502
280	975	2495
281	976	2485
282	977	2475
283	978	2466
284	979	2456
285	980	2447
